Age,Attrition,BusinessTravel,Department,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,JobInvolvement,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,ManagerGender
56,Yes,Non-Travel,IT Support,1,Computer Science,1,4,Female,3,Helpdesk Analyst,1,Single,10863,6,Yes,2,3,4,0,25,0,2,5,6,5,1,Male
38,Yes,Non-Travel,Data Science,1,Computer Science,2,1,Male,4,Data Analyst,4,Married,14728,6,Yes,2,3,4,0,17,0,4,12,7,3,7,Female
59,Yes,Travel_Frequently,IT Support,2,Information Technology,3,1,Male,4,IT Specialist,3,Single,6220,3,Yes,13,2,4,3,7,3,3,12,10,6,2,Male
37,Yes,Travel_Rarely,IT Support,1,Information Technology,4,4,Female,2,IT Specialist,4,Divorced,13140,6,Yes,11,3,4,3,16,3,3,5,6,10,5,Male
39,Yes,Non-Travel,Data Science,4,Information Technology,5,1,Male,1,Data Scientist,4,Divorced,5684,1,No,8,4,4,2,32,5,4,15,2,6,8,Female
56,Yes,Travel_Rarely,Software Development,3,Computer Science,6,1,Male,2,Frontend Developer,4,Married,12966,5,No,15,1,4,2,11,2,3,4,9,9,9,Male
35,No,Non-Travel,IT Support,4,Mathematics,7,3,Female,2,Helpdesk Analyst,1,Married,13890,2,Yes,18,4,3,2,5,1,3,15,6,5,7,Male
50,Yes,Travel_Frequently,Software Development,3,Mathematics,8,1,Female,4,Backend Developer,2,Single,14172,6,Yes,8,2,2,1,30,4,1,11,6,10,7,Female
26,No,Travel_Frequently,Software Development,1,Engineering,9,1,Male,1,Backend Developer,2,Divorced,14500,4,No,7,4,3,0,26,0,2,7,3,3,5,Female
22,Yes,Travel_Frequently,Software Development,1,Business Administration,10,3,Female,1,Software Engineer,1,Married,4010,2,No,2,1,4,3,35,3,3,8,2,1,7,Female
28,No,Travel_Frequently,IT Support,4,Computer Science,11,4,Female,4,System Administrator,3,Single,3817,0,No,8,1,1,0,4,4,1,10,10,5,6,Male
32,Yes,Non-Travel,Data Science,3,Computer Science,12,3,Female,4,Data Analyst,3,Single,4968,0,Yes,3,1,2,0,27,0,4,16,4,8,3,Female
60,Yes,Travel_Rarely,Data Science,3,Computer Science,13,3,Male,1,Data Scientist,2,Single,10034,6,Yes,1,1,1,3,30,1,3,1,8,1,9,Female
59,Yes,Non-Travel,Project Management,3,Computer Science,14,4,Male,3,Project Manager,3,Single,4079,1,No,9,4,2,2,6,0,2,12,7,5,9,Female
31,No,Travel_Frequently,IT Support,2,Computer Science,15,1,Female,4,System Administrator,1,Married,9998,4,Yes,17,2,3,3,35,3,1,19,9,8,4,Male
44,Yes,Travel_Frequently,Cybersecurity,1,Computer Science,16,4,Male,3,Security Analyst,2,Married,14698,2,No,16,3,2,3,2,4,1,11,1,0,1,Male
41,Yes,Non-Travel,Project Management,4,Information Technology,17,2,Female,3,Scrum Master,2,Divorced,9283,1,Yes,16,4,4,3,30,1,2,16,10,3,1,Male
